Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON
9c8e9def-0884-0f5e-17a3-65bce242612b,1958-03-11,,999-69-3155,S99993616,X74078583X,Mr.,Jamie386,Koss676,,,S,black,nonhispanic,M,Waltham  Massachusetts  US,573 Romaguera Flat,Needham,Massachusetts,Norfolk County,25021.0,2492,42.31297193114948,-71.2250772067174
278c3ef8-9e6e-9233-1930-dc8ef59a7c0b,1958-01-24,,999-13-9505,S99958067,X23384259X,Mr.,Chance908,Senger904,,,D,asian,nonhispanic,M,Chelmsford  Massachusetts  US,584 Farrell Haven,Andover,Massachusetts,Essex County,25009.0,1810,42.690473809448605,-71.20109157962854
9b0fce66-64df-dabb-896a-37931697187e,1958-10-15,,999-46-1500,S99946608,X55891800X,Mrs.,Candi549,Dibbert990,,Ryan260,D,white,nonhispanic,F,Springfield  Massachusetts  US,816 Schneider Viaduct Apt 22,Medford,Massachusetts,Middlesex County,25017.0,2145,42.402614722241445,-71.06752937934993
6dd092ca-dc7f-b8b6-0e2b-aa4f0f48dc4d,1916-05-07,1989-07-30,999-46-4619,S99960185,X75635843X,Mr.,Raymundo71,Stokes453,,,S,white,nonhispanic,M,Worcester  Massachusetts  US,982 Lakin Port,Leominster,Massachusetts,Worcester County,25027.0,1420,42.55481555569939,-71.762468999182
7754fdc6-92c8-9726-3883-c022d077325b,1939-02-09,2023-11-19,999-45-8548,S99953351,X14470494X,Mr.,Emanuel231,Block661,,,M,white,nonhispanic,M,Gloucester  Massachusetts  US,707 Cummings Vista,Easthampton,Massachusetts,Hampshire County,25015.0,1027,42.29941852459997,-72.77129829579394
bc60a148-d6c9-0e2f-5f6f-e8153548b8bf,1949-05-09,2019-11-15,999-17-1509,S99962764,X68232609X,Mrs.,Noelia656,Treutel973,,Schoen8,W,white,nonhispanic,F,Gloucester  Massachusetts  US,277 Durgan Center Apt 37,Wrentham,Massachusetts,Norfolk County,,0,42.047928867692505,-71.31884375914275
ae7abeb6-3702-5fe5-b5dc-a6f40a1547c6,1940-08-30,2009-04-27,999-52-6924,S99987723,X84203010X,Mr.,Fidel864,Cassin499,,,M,white,nonhispanic,M,Warren  Massachusetts  US,700 Macejkovic Meadow Suite 62,North Reading,Massachusetts,Middlesex County,,0,42.61144964742278,-71.08517747816464
1b52bba4-99cf-2a4b-74d3-9ecccb7ea168,1939-02-09,,999-28-7330,S99990235,X84793521X,Mr.,Kennith515,Klein929,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,246 Abbott Manor,Easthampton,Massachusetts,Hampshire County,25015.0,1027,42.25041250175383,-72.77137856185453
8c705d71-b46a-0667-2170-bfa529fe8025,1964-10-13,,999-43-7836,S99958587,X84836763X,Mrs.,Angla303,Tremblay80,,Von197,M,white,nonhispanic,F,Everett  Massachusetts  US,423 Kuhn Route,Holden,Massachusetts,Worcester County,,0,42.34788024803404,-71.83170363595339
79a60303-c998-1976-cb83-eafbec9ec5da,1940-07-27,2011-08-29,999-81-8946,S99979580,X30108314X,Mr.,Maynard46,Casper496,,,S,asian,nonhispanic,M,Ludlow  Massachusetts  US,607 McLaughlin Estate Suite 21,Westport,Massachusetts,Bristol County,,0,41.611456918638815,-71.12155161549141
f62083a2-75cd-3ff1-9db5-6ffe5ebfa9db,1940-08-30,,999-54-6213,S99969601,X23761214X,Mr.,Scott935,Abernathy524,,,M,white,nonhispanic,M,Framingham  Massachusetts  US,360 Koss Wynd,North Reading,Massachusetts,Middlesex County,,0,42.61252544216021,-71.08099656230354
d50ec513-00d7-18b7-018c-f5987cd2f24f,1945-03-07,2018-12-02,999-12-5695,S99917513,X18340990X,Mrs.,Pura348,Lesch175,,Emmerich580,M,white,nonhispanic,F,Hingham  Massachusetts  US,393 Wuckert Bridge,Orleans,Massachusetts,Barnstable County,25001.0,2653,41.78861839671714,-69.94460994941981
922841ee-fdda-a71a-92ad-15e62f26226e,1918-04-23,1992-08-07,999-29-4528,S99965891,X15518621X,Mr.,Quinn173,Morar593,,,M,white,nonhispanic,M,Braga  Minho  PT,614 VonRueden Heights,Buzzards Bay,Massachusetts,Barnstable County,25001.0,2542,41.74639000701677,-70.56860756440861
775b460e-e6b3-1ce4-ab4a-13d643709b09,1945-03-07,2024-03-14,999-80-4884,S99978908,X79725550X,Mrs.,Shaquita282,Harvey63,,Jaskolski867,M,white,nonhispanic,F,Boston  Massachusetts  US,990 Lynch View Unit 59,Orleans,Massachusetts,Barnstable County,25001.0,2653,41.802405156605765,-69.95468187761284
51d07f03-5a67-c623-41ad-5d0e69308d6c,1955-09-10,,999-18-6605,S99925049,X30199149X,Mrs.,Joetta231,Marquardt819,,Schaefer657,M,white,nonhispanic,F,Eastham  Massachusetts  US,433 Heathcote Mission Suite 31,Sandwich,Massachusetts,Barnstable County,25001.0,2563,41.7212893967716,-70.4482531358893
ef66c955-6d65-703c-b715-60b0c2f186ee,1954-07-01,,999-52-3300,S99934508,X8191070X,Mr.,Forest317,Wolf938,,,S,white,nonhispanic,M,Bellingham  Massachusetts  US,1078 O'Reilly Street Suite 64,Burlington,Massachusetts,Middlesex County,25017.0,1803,42.53068598983024,-71.28796951465293
ecab2a0d-e74a-1765-9f2b-7806c1d3897b,1942-02-21,,999-20-9751,S99946389,X63544643X,Mrs.,Eliana466,Reichel38,,Howe413,M,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,311 Schmidt Park Unit 20,Boston,Massachusetts,Suffolk County,25025.0,2130,42.375865674726654,-71.02959780263829
81641a1c-2872-d35f-4f06-71c95c9684f2,1964-05-15,2016-04-12,999-97-4223,S99970541,X77241131X,Mr.,Ricardo560,Miller503,,,M,white,nonhispanic,M,North Andover  Massachusetts  US,177 Lueilwitz Club,Boston,Massachusetts,Suffolk County,25017.0,2467,42.360153998458905,-71.0485760958636
e063f456-e9b2-8e33-d3fb-50a94b36a19a,1941-05-27,,999-91-8419,S99965071,X78438154X,Ms.,Elfriede680,Zieme486,,,S,white,nonhispanic,F,Dudley  Massachusetts  US,1046 Carter Stravenue,Randolph,Massachusetts,Norfolk County,25021.0,2368,42.136951710089335,-71.00354157637153
528ecf37-81b8-bad0-935a-1a15537af4b8,1923-06-15,1987-07-14,999-49-2551,S99946825,X79601331X,Mr.,Warren653,Abernathy524,,,M,white,nonhispanic,M,Middleborough Center  Massachusetts  US,554 Hartmann Common Suite 90,Great Barrington,Massachusetts,Berkshire County,25003.0,1230,42.12892950868334,-73.27864354928302
c711b341-189a-fecf-9c08-203a8dc2c87c,1945-02-05,2017-10-23,999-13-2897,S99962720,X30221220X,Mr.,Olen518,Bayer639,,,W,white,nonhispanic,M,Holliston  Massachusetts  US,651 D'Amore Alley Unit 78,Truro,Massachusetts,Barnstable County,,0,42.011374130900215,-70.03604410384732
f84407a7-5900-52c3-7681-74373a86a0f8,1957-08-05,,999-41-9801,S99935662,X45944820X,Mr.,Willian804,Skiles927,,,S,white,nonhispanic,M,Hanover  Massachusetts  US,609 Kozey Byway Apt 46,Harwich,Massachusetts,Barnstable County,,0,41.64753888030612,-70.09674648844067
ef692879-4932-119b-f07e-b5a523be875b,1941-12-11,,999-23-9017,S99996553,X42515414X,Mr.,Isidro558,Mitchell808,,,D,black,nonhispanic,M,Lawrence  Massachusetts  US,183 Murazik Harbor,Haverhill,Massachusetts,Essex County,25009.0,1830,42.83018340065984,-71.1790723195618
a5ce24de-913c-0a66-6497-6194a8b55ef3,1943-01-20,,999-48-6544,S99991323,X89363075X,Mr.,Gail741,Renner328,,,S,native,nonhispanic,M,Chelmsford  Massachusetts  US,683 Stracke Wynd Unit 55,Methuen,Massachusetts,Essex County,25009.0,1844,42.71038919729333,-71.16053457042246
e6a9979a-288e-9044-2067-d253c85a10e7,1918-04-23,2020-11-12,999-56-3347,S99915008,X33562572X,Mr.,Wilson960,Brown30,,,S,white,nonhispanic,M,Braga  Minho  PT,1084 Hudson Alley,Buzzards Bay,Massachusetts,Barnstable County,25001.0,2532,41.72713848544119,-70.63956372476528
8c74ab2c-3724-42bd-a27c-f937c0eff16b,1934-05-05,,999-20-8293,S99950238,X53030029X,Mr.,Seth414,Hansen121,,,M,white,nonhispanic,M,Bellingham  Massachusetts  US,884 Grady Vista,Quincy,Massachusetts,Norfolk County,25021.0,2171,42.274896379888126,-71.08939560128348
fadd3509-3b5c-12a1-4c0d-d0a18160a80a,1950-02-08,2015-09-21,999-47-6856,S99940353,X5367194X,Ms.,Lorena247,Schoen8,MD,,S,white,nonhispanic,F,Brookline  Massachusetts  US,261 O'Conner Lane,Braintree,Massachusetts,Norfolk County,25021.0,2184,42.25186057906315,-71.012043899293
4f2b08f6-9fda-219d-3290-3c89ef45616e,1950-02-08,2010-09-11,999-50-7159,S99951430,X8691183X,Ms.,Sudie246,Romaguera67,MD,,S,white,nonhispanic,F,Andover  Massachusetts  US,875 Bergnaum Lodge,Braintree,Massachusetts,Norfolk County,25021.0,2184,42.211220555897576,-70.97618489099202
6b3f31df-6d52-a876-311e-68b46c7e7e07,1956-08-12,2007-02-27,999-55-7623,S99991352,X70106666X,Mr.,Paul232,Hagenes547,,,S,white,nonhispanic,M,Everett  Massachusetts  US,858 Lemke Rest,Stoneham,Massachusetts,Middlesex County,25017.0,2180,42.50970938180845,-71.12659688084484
11763d2c-de32-7bb6-76d6-37be61c461f6,1944-09-12,2022-03-02,999-65-4854,S99929019,X71826293X,Mr.,Benny518,Hoeger474,,,W,white,nonhispanic,M,Quincy  Massachusetts  US,335 Fadel Vista Apt 96,Reading,Massachusetts,Middlesex County,25017.0,1801,42.5127590810832,-71.07502932166453
b5665c5a-bf6a-ee32-cfe9-040be7121dd3,1919-05-23,,999-73-6849,S99964035,X64014828X,Mrs.,Vicki422,Lynch190,,Schaden604,W,white,nonhispanic,F,Burlington  Massachusetts  US,397 Carter Throughway,Amherst Center,Massachusetts,Hampshire County,,0,42.35715036516964,-72.55951831058648
70002c80-83eb-d2d5-46c9-897ceaedd7fa,1923-06-15,2008-09-21,999-20-6426,S99912774,X47660707X,Mr.,Giuseppe872,Feil794,,,S,white,nonhispanic,M,Ashburnham  Massachusetts  US,1032 Herman Crossroad,Great Barrington,Massachusetts,Berkshire County,25003.0,1230,42.203811154814325,-73.33660540556613
4bf3092a-0018-f3e3-0816-0126b65704e7,1966-07-18,,999-98-7997,S99937296,X30230110X,Ms.,Mariah942,Vandervort697,,,S,white,nonhispanic,F,Boston  Massachusetts  US,511 Wehner Junction,Franklin,Massachusetts,Norfolk County,25021.0,2038,42.062866253247336,-71.44331535445039
efdca260-662e-1882-5ab0-00dd3c615a70,1944-09-12,,999-35-6945,S99911058,X21364057X,Mr.,Arturo47,Anderson154,,,M,white,nonhispanic,M,Concord  Massachusetts  US,288 Friesen Club,Reading,Massachusetts,Middlesex County,25017.0,1867,42.44981140439918,-71.12801728510796
f3a30c69-8dfb-bd90-8198-173d1694b8bb,1940-04-26,,999-24-9874,S99917324,X10593895X,Mr.,Carl856,Herzog843,,,M,white,nonhispanic,M,Dedham  Massachusetts  US,368 Reichert Glen Unit 15,Plymouth,Massachusetts,Plymouth County,25023.0,2360,41.8509367694843,-70.64592431576799
19b47a0d-0985-5db0-2745-643adca1b49f,1950-03-05,,999-76-6742,S99950829,X27463101X,Mr.,Tommie457,Goyette777,,,D,white,nonhispanic,M,Northampton  Massachusetts  US,476 Lind Gardens Unit 16,New Bedford,Massachusetts,Bristol County,25005.0,2747,41.72150100775388,-70.97310430595152
67f82a81-62e6-7415-1880-9c98023687f4,1948-10-21,,999-77-6727,S99976164,X7514434X,Mr.,Lou594,Mueller846,,,W,white,nonhispanic,M,Boston  Massachusetts  US,1016 Gulgowski Flat Suite 56,Quincy,Massachusetts,Norfolk County,25021.0,2169,42.23361511400467,-70.95973338633694
73fdcabd-7292-fa5a-590a-8a4dcfb2d9db,1939-03-06,2019-10-25,999-69-1078,S99991860,X26137620X,Mr.,Riley817,Upton904,,,M,white,nonhispanic,M,Newton  Massachusetts  US,1077 Kling Manor Unit 15,Fitchburg,Massachusetts,Worcester County,25027.0,1420,42.6029796228901,-71.77389121143618
8de5b229-6f24-97cc-88fe-3b07956f1f99,1937-01-04,,999-86-9297,S99973998,X11225507X,Mrs.,Rolande819,Keebler762,,Predovic534,M,white,hispanic,F,Revere  Massachusetts  US,184 Sauer Skyway,Melrose,Massachusetts,Middlesex County,25017.0,2176,42.4988077690898,-71.01992581294364
e1897d31-8205-df57-c257-807345d44c8d,1928-11-25,2016-12-16,999-42-3278,S99974751,X72709362X,Mr.,Wade235,O'Conner199,,,D,white,nonhispanic,M,Agawam  Massachusetts  US,842 Stanton Heights,Boston,Massachusetts,Suffolk County,25025.0,2132,42.27191185765655,-71.02189437891771
7f21030f-2058-2ed0-9c38-4d39dee6747a,1960-03-23,,999-57-6441,S99916807,X40362951X,Mr.,Randy380,Dibbert990,,,S,white,nonhispanic,M,Boston  Massachusetts  US,652 Murphy Approach Apt 48,Concord,Massachusetts,Middlesex County,,0,42.50985262273952,-71.39750607796559
5a84d8f0-5f9e-2539-27ef-ea2e577b7084,1938-06-24,,999-43-4274,S99990482,X25005114X,Mr.,Abdul218,Ankunding277,,,S,white,nonhispanic,M,Deerfield  Massachusetts  US,924 Stiedemann Avenue Apt 58,Great Barrington,Massachusetts,Berkshire County,25003.0,1230,42.17750320521958,-73.35801800948113
46856ab5-7624-e14b-bef6-ada7de5ade22,1954-08-23,2004-10-03,999-70-7597,S99969724,X35829631X,Mr.,Rory188,Wisozk929,,,D,white,nonhispanic,M,Boston  Massachusetts  US,528 Adams Byway,Wellesley,Massachusetts,Norfolk County,25021.0,2457,42.25667929578224,-71.2044449668785
12aa1dd3-505e-abf0-2b51-4c9022d26e21,1928-11-25,,999-53-8897,S99954099,X7552661X,Mr.,Donny470,Prohaska837,,,D,white,nonhispanic,M,North Andover  Massachusetts  US,260 Christiansen Junction,Boston,Massachusetts,Suffolk County,25025.0,2114,42.3495386506547,-71.06960564696517
af74d502-b2b1-9d5c-8f86-3a4103a3c6bf,1938-02-28,,999-46-3878,S99934540,X50456699X,Mr.,Lionel365,Swift555,,,D,white,nonhispanic,M,Sharon  Massachusetts  US,346 Cummings Haven,Bedford,Massachusetts,Middlesex County,25017.0,1730,42.47009669022349,-71.313040470355
e3f76d7c-0e53-fb6a-de46-c5c98b165dff,1952-01-06,,999-51-6527,S99999511,X21171785X,Mr.,Reynaldo722,Prosacco716,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,216 Anderson Lodge Unit 66,Dennis Port,Massachusetts,Barnstable County,25001.0,2639,41.680046981066944,-70.09797825798755
29765ebb-22b5-03f8-875c-506f7067bb1a,1954-01-24,,999-64-5179,S99953408,X76628540X,Mr.,Bobby524,O'Hara248,,,M,white,nonhispanic,M,West Boylston  Massachusetts  US,411 Maggio Knoll,Hamilton,Massachusetts,Essex County,,0,42.62988740975735,-70.85549254852364
a3204a84-cdae-9b51-4b9d-a835497a29f2,1970-10-12,,999-22-3949,S99973044,X23486559X,Ms.,Michal596,Zboncak558,,,S,white,nonhispanic,F,Brookfield  Massachusetts  US,592 Stokes Vale,Waltham,Massachusetts,Middlesex County,25017.0,2472,42.33259568122217,-71.21835627557863
4c29f356-e308-e81d-a3e2-c556d5392897,1968-08-09,,999-95-9643,S99926368,X43735831X,Mr.,Shad704,Stracke611,,,M,white,nonhispanic,M,Danvers  Massachusetts  US,345 Fadel Row,Boston,Massachusetts,Suffolk County,25025.0,2119,42.35593633275303,-71.14580939334418
72f89916-02d8-01cb-4091-e6f5b87d699c,1960-09-15,,999-35-4448,S99970109,X47007224X,Mrs.,Luci727,Bosco882,,Olson653,M,white,nonhispanic,F,Boston  Massachusetts  US,343 Schneider Wynd Unit 2,New Bedford,Massachusetts,Bristol County,25005.0,2748,41.66832622400677,-71.05706275827326
c862d656-4d46-7e6c-958f-6fb76243de0e,1937-05-06,,999-20-4395,S99961916,X31045811X,Mr.,Harlan808,Douglas31,,,S,white,nonhispanic,M,Holland  Massachusetts  US,460 Kerluke Corner,Leominster,Massachusetts,Worcester County,25027.0,1453,42.4767894891272,-71.7656374984891
d9c93a77-a279-8aa8-c188-2b56092d5c26,1960-09-23,,999-59-5919,S99984904,X79740941X,Mr.,Micheal721,Kutch271,,,D,white,nonhispanic,M,Southampton  Massachusetts  US,210 Torphy Ville,Boston,Massachusetts,Suffolk County,25017.0,2467,42.35409098260605,-71.04629720583344
5536142e-dfc6-5012-8175-c0af1165e120,1957-10-11,,999-12-5562,S99933878,X4298085X,Mr.,Kraig824,Kilback373,,,M,white,nonhispanic,M,Sao Paulo  Sao Paulo  BR,411 O'Conner Trafficway Unit 36,Orleans,Massachusetts,Barnstable County,25001.0,2653,41.76296246995578,-70.01520651539292
e320457d-65d7-c558-a153-8f7f1ff1755f,1948-05-30,,999-30-4722,S99936158,X67135373X,Mrs.,Marcia467,Champlin946,,Schmeler639,W,white,nonhispanic,F,Brockton  Massachusetts  US,316 Thompson Gateway,Medfield,Massachusetts,Norfolk County,25021.0,2052,42.19539839405456,-71.34318486485287
001f11f1-1f85-4858-fe98-f74e61f5334d,1940-07-21,,999-51-7463,S99971981,X76860943X,Mr.,Cole117,Runolfsdottir785,PhD,,D,white,nonhispanic,M,Gardner  Massachusetts  US,699 Moore Lodge,Concord,Massachusetts,Middlesex County,,0,42.45391032351293,-71.37335275038393
a69402a1-8204-e7bb-48dc-8c9199283748,1964-09-14,,999-36-1118,S99995041,X3617013X,Ms.,Jan231,Erdman779,,,S,white,nonhispanic,F,Peabody  Massachusetts  US,1007 Konopelski Drive,North Andover,Massachusetts,Essex County,,0,42.66994120643423,-71.11945958351889
28d70d9d-5975-d077-e169-66a743ebfad6,1940-03-13,,999-21-1949,S99980016,X34673862X,Mrs.,Ka422,Harvey63,,Greenfelder433,W,white,nonhispanic,F,Lowell  Massachusetts  US,685 Lemke Rest Apt 9,Wrentham,Massachusetts,Norfolk County,,0,42.03996133353744,-71.34373620519867
ca205a75-de00-8cf1-aec1-36a744739083,1922-01-31,1997-07-15,999-55-8796,S99951664,X55006288X,Mr.,Jerrold404,Gerhold939,,,S,white,nonhispanic,M,Lowell  Massachusetts  US,1004 Price Glen Apt 10,Worcester,Massachusetts,Worcester County,25027.0,1607,42.22958876888863,-71.75915981578878
a19f89b0-75f4-08cd-ec9c-dfd461d066e1,1954-07-30,,999-63-1500,S99943170,X88842470X,Mrs.,Willodean275,Schuppe920,,Dach178,M,asian,nonhispanic,F,Townsend  Massachusetts  US,443 Dach Drive,Somerville,Massachusetts,Middlesex County,25017.0,2143,42.42639850391105,-71.09151176451739
607b5011-20d2-4951-6505-41675649e7ca,1921-05-08,,999-81-3076,S99952897,X15866392X,Mr.,Evan94,Will178,,,S,white,nonhispanic,M,Dedham  Massachusetts  US,970 Jakubowski Lock Apt 55,Adams,Massachusetts,Berkshire County,25003.0,1220,42.63538179305413,-73.12909316362733
8759ff2d-13c9-ad2e-81ba-7d08f46c1161,1951-05-05,2016-09-22,999-15-6476,S99969980,X89564685X,Mr.,Malcom15,Schowalter414,,,M,white,nonhispanic,M,Reading  Massachusetts  US,676 Kertzmann Orchard Unit 26,Natick,Massachusetts,Middlesex County,,0,42.31042861373152,-71.38737317018771
d1eff76a-525f-9bf5-56b0-c05e4362bd84,1967-04-09,,999-47-2961,S99973250,X16483117X,Mr.,Everett935,Russel238,,,S,white,nonhispanic,M,Boston  Massachusetts  US,1026 Reilly Skyway Unit 68,Hull,Massachusetts,Plymouth County,25023.0,2045,42.3295833254822,-70.85657938516485
23dec080-a5e7-cb70-5469-e1e7721a02c0,1922-01-31,2009-03-30,999-78-9569,S99982135,X87660061X,Mr.,Willie882,Medhurst46,,,S,white,nonhispanic,M,Attleboro  Massachusetts  US,288 Reichel Heights,Worcester,Massachusetts,Worcester County,25027.0,1583,42.29204682941421,-71.78033492294782
81feb6d9-f7ff-dc26-8f31-c6bd95f4cbff,1966-07-31,,999-41-7671,S99927511,X35038720X,Mr.,Josef103,Rowe323,,,M,white,nonhispanic,M,Grafton  Massachusetts  US,354 Herzog Gate,Boston,Massachusetts,Suffolk County,25025.0,2127,42.32379843506935,-71.07742312071409
aaacefcb-5edf-86dd-d1a9-e3e46a1ac58d,1950-09-17,,999-37-9632,S99939646,X19548080X,Mr.,Benny518,Lubowitz58,,,M,white,hispanic,M,Revere  Massachusetts  US,1061 Sanford Loaf,Norwood,Massachusetts,Norfolk County,25021.0,2062,42.163169964463926,-71.20209849568067
4a3ac271-f747-d94c-5e0c-1ddc08fdfe5a,1956-06-01,,999-10-1756,S99959253,X63183867X,Mr.,Fernando603,Dicki44,,,S,white,nonhispanic,M,Boston  Massachusetts  US,332 Rosenbaum Vale Unit 65,Lawrence,Massachusetts,Essex County,25009.0,1840,42.715288922418594,-71.1448522472511
0b1197c0-5941-67c8-148a-4c6ab3c0ccaf,1932-03-01,,999-81-1755,S99966356,X74659417X,Mrs.,Robin66,Powlowski563,,Zboncak558,M,white,nonhispanic,F,Boston  Massachusetts  US,700 Blick Station,Braintree,Massachusetts,Norfolk County,25021.0,2184,42.22354872486756,-70.96926969278041
a66f633e-2ae8-8631-c564-1c66acf1fad9,1957-12-18,,999-57-4880,S99922620,X5075672X,Mr.,Arnulfo253,O'Kon634,,,M,white,nonhispanic,M,Pittsfield  Massachusetts  US,698 Bradtke Haven Suite 86,Amesbury,Massachusetts,Essex County,25009.0,1913,42.89777447360956,-70.97006838533568
8fe63f10-b593-6ddf-5996-8333ad8a32e2,1955-12-11,,999-86-9492,S99927273,X49378317X,Mr.,Derek111,Glover433,,,M,white,nonhispanic,M,Weymouth  Massachusetts  US,229 Bradtke Approach,Petersham,Massachusetts,Worcester County,25027.0,1366,42.4633269945388,-72.1948163481572
3331d2b4-fd2e-23f5-ccbb-0f2d294c5a46,1956-09-07,,999-67-4362,S99960626,X84309722X,Mr.,Wilfred787,Donnelly343,,,M,white,nonhispanic,M,Wellesley  Massachusetts  US,971 Beer View,Sterling,Massachusetts,Worcester County,,0,42.45069444581553,-71.75701383988833
b58884e7-4d17-7ddf-0aba-797283336ed6,1945-04-21,,999-10-5798,S99949103,X7717026X,Mr.,Gabriel934,Borrego496,,,M,white,hispanic,M,Panama City  Panama  PA,505 Nolan Mews Suite 19,Uxbridge,Massachusetts,Worcester County,,0,42.044763359011895,-71.68159775145233
360cae5e-2da8-8249-8f2d-aaaed40aa412,1935-01-14,,999-83-9607,S99927143,X444080X,Mr.,Cristopher265,Weber641,,,S,white,nonhispanic,M,Plainville  Massachusetts  US,980 Skiles Brook,Harwich,Massachusetts,Barnstable County,,0,41.740873927105234,-70.09524754157664
d446cdf3-afa6-93c3-64e1-12c2e3b8d543,1939-05-14,,999-98-5507,S99978898,X79300023X,Mr.,Marty115,Fadel536,,,M,white,nonhispanic,M,Boston  Massachusetts  US,315 Wolff Route,Taunton,Massachusetts,Bristol County,25005.0,2767,41.987961116149,-71.03995208012053
837c6617-29f5-1685-eb31-475df4e87c9a,1937-01-14,,999-97-8756,S99979118,X6550968X,Mrs.,Barbara209,Velásquez56,,Mesa630,D,white,hispanic,F,Carolina  Puerto Rico  PR,148 Franecki Alley Suite 39,Middleborough,Massachusetts,Plymouth County,,0,41.87022070667109,-70.82431632021344
6f419526-a750-c2a8-23ba-dddf6436a304,1944-06-04,2016-07-17,999-68-5623,S99953753,X42795587X,Mr.,Colby655,Jacobs452,,,M,white,nonhispanic,M,Boston  Massachusetts  US,879 Torphy Trail Suite 80,Acton,Massachusetts,Middlesex County,,0,42.43855612737805,-71.48180221659943
